Rank1,Rank2,Rank3,Rank4,Alg,Prob,Q,PC
9,4,8,10,GA,F19,3,1
7,5,10,6,GA,F19,3,2
6,7,5,1,GA,F19,3,3
9,4,8,3,GA,F19,4,1
2,5,7,3,GA,F19,4,2
6,5,7,1,GA,F19,4,3
9,2,10,3,PSO,F19,1,1
6,9,3,2,PSO,F19,1,2
4,8,2,3,PSO,F19,1,3
9,2,3,10,PSO,F19,2,1
6,9,3,2,PSO,F19,2,2
4,5,8,2,PSO,F19,2,3
9,10,7,3,PSO,F19,3,1
6,4,7,9,PSO,F19,3,2
2,5,8,4,PSO,F19,3,3
1,9,10,7,PSO,F19,4,1
6,7,2,4,PSO,F19,4,2
5,7,8,4,PSO,F19,4,3
3,4,8,5,CMAES,F1,1,1
7,9,10,6,CMAES,F1,1,2
6,9,10,1,CMAES,F1,1,3
3,4,8,2,CMAES,F1,2,1
7,10,6,1,CMAES,F1,2,2
1,6,7,10,CMAES,F1,2,3
2,5,3,8,CMAES,F1,3,1
6,7,10,1,CMAES,F1,3,2
1,6,10,7,CMAES,F1,3,3
8,4,3,2,CMAES,F1,4,1
7,10,1,6,CMAES,F1,4,2
1,6,7,10,CMAES,F1,4,3
3,8,4,2,DE,F1,1,1
5,2,4,3,DE,F1,1,2
2,5,8,10,DE,F1,1,3
3,8,4,2,DE,F1,2,1
5,2,10,4,DE,F1,2,2
2,5,8,6,DE,F1,2,3
3,8,4,2,DE,F1,3,1
7,9,1,10,DE,F1,3,2
7,10,9,6,DE,F1,3,3
3,8,4,2,DE,F1,4,1
1,9,7,10,DE,F1,4,2
1,10,9,7,DE,F1,4,3
3,8,4,2,GA,F1,1,1
2,4,5,3,GA,F1,1,2
5,2,3,10,GA,F1,1,3
3,8,4,2,GA,F1,2,1
2,10,6,4,GA,F1,2,2
5,10,7,6,GA,F1,2,3
8,3,4,2,GA,F1,3,1
7,9,1,6,GA,F1,3,2
7,1,9,6,GA,F1,3,3
8,3,4,2,GA,F1,4,1
7,9,1,10,GA,F1,4,2
1,7,9,10,GA,F1,4,3
3,4,8,5,PSO,F1,1,1
2,9,5,7,PSO,F1,1,2
1,9,7,5,PSO,F1,1,3
3,4,8,5,PSO,F1,2,1
7,9,1,2,PSO,F1,2,2
1,9,7,10,PSO,F1,2,3
3,4,8,5,PSO,F1,3,1
7,1,9,10,PSO,F1,3,2
1,7,9,10,PSO,F1,3,3
3,4,8,5,PSO,F1,4,1
7,1,9,10,PSO,F1,4,2
1,7,9,10,PSO,F1,4,3
10,6,8,7,CMAES,F20,1,1
10,8,6,7,CMAES,F20,1,2
10,9,8,7,CMAES,F20,1,3
10,6,8,7,CMAES,F20,2,1
10,8,6,7,CMAES,F20,2,2
10,9,8,7,CMAES,F20,2,3
6,8,1,2,CMAES,F20,3,1
10,8,6,9,CMAES,F20,3,2
4,2,1,5,CMAES,F20,3,3
1,2,5,4,CMAES,F20,4,1
10,9,3,6,CMAES,F20,4,2
1,4,2,3,CMAES,F20,4,3
6,7,9,8,DE,F20,1,1
7,8,9,10,DE,F20,1,2
10,8,9,6,DE,F20,1,3
6,4,5,7,DE,F20,2,1
7,6,8,2,DE,F20,2,2
6,8,7,10,DE,F20,2,3
4,6,3,5,DE,F20,3,1
2,6,3,7,DE,F20,3,2
6,2,3,8,DE,F20,3,3
3,4,2,5,DE,F20,4,1
2,3,6,7,DE,F20,4,2
2,3,6,1,DE,F20,4,3
7,3,2,4,GA,F20,1,1
7,3,4,6,GA,F20,1,2
7,4,3,5,GA,F20,1,3
3,7,2,1,GA,F20,2,1
7,4,3,2,GA,F20,2,2
7,4,3,1,GA,F20,2,3
2,1,3,7,GA,F20,3,1
7,4,2,1,GA,F20,3,2
1,2,4,3,GA,F20,3,3
1,2,3,4,GA,F20,4,1
1,2,4,3,GA,F20,4,2
1,2,4,3,GA,F20,4,3
10,8,6,1,PSO,F20,1,1
8,10,6,1,PSO,F20,1,2
8,6,10,4,PSO,F20,1,3
10,8,6,1,PSO,F20,2,1
8,10,6,1,PSO,F20,2,2
8,6,10,4,PSO,F20,2,3
10,8,6,1,PSO,F20,3,1
8,10,6,1,PSO,F20,3,2
8,6,10,4,PSO,F20,3,3
10,3,5,7,PSO,F20,4,1
3,7,8,5,PSO,F20,4,2
3,9,8,4,PSO,F20,4,3
2,5,8,4,CMAES,F21,1,1
7,1,9,3,CMAES,F21,1,2
6,9,7,3,CMAES,F21,1,3
8,2,5,4,CMAES,F21,2,1
7,3,1,9,CMAES,F21,2,2
6,7,9,3,CMAES,F21,2,3
4,8,5,10,CMAES,F21,3,1
7,3,1,6,CMAES,F21,3,2
6,3,1,7,CMAES,F21,3,3
2,5,8,4,CMAES,F21,4,1
7,3,1,6,CMAES,F21,4,2
6,7,3,1,CMAES,F21,4,3
2,4,8,5,DE,F21,1,1
4,2,5,8,DE,F21,1,2
4,5,2,8,DE,F21,1,3
2,8,4,3,DE,F21,2,1
2,5,4,8,DE,F21,2,2
5,4,2,10,DE,F21,2,3
2,8,3,4,DE,F21,3,1
2,5,8,4,DE,F21,3,2
5,3,10,2,DE,F21,3,3
8,2,3,10,DE,F21,4,1
10,2,5,8,DE,F21,4,2
10,9,1,3,DE,F21,4,3
2,5,8,4,GA,F21,1,1
8,5,2,4,GA,F21,1,2
2,4,10,5,GA,F21,1,3
2,5,8,4,GA,F21,2,1
8,5,2,3,GA,F21,2,2
10,7,3,2,GA,F21,2,3
2,4,5,8,GA,F21,3,1
9,8,1,3,GA,F21,3,2
9,10,1,3,GA,F21,3,3
4,6,10,9,GA,F21,4,1
9,10,1,6,GA,F21,4,2
1,9,10,6,GA,F21,4,3
8,2,4,5,PSO,F21,1,1
8,5,4,3,PSO,F21,1,2
5,8,9,6,PSO,F21,1,3
8,2,4,5,PSO,F21,2,1
3,8,7,5,PSO,F21,2,2
9,5,1,8,PSO,F21,2,3
8,2,4,5,PSO,F21,3,1
7,1,6,3,PSO,F21,3,2
9,6,10,1,PSO,F21,3,3
2,4,8,10,PSO,F21,4,1
7,10,1,9,PSO,F21,4,2
9,10,1,3,PSO,F21,4,3
3,5,4,8,CMAES,F22,1,1
10,7,9,5,CMAES,F22,1,2
1,8,4,9,CMAES,F22,1,3
3,4,9,6,CMAES,F22,2,1
9,7,10,4,CMAES,F22,2,2
9,1,4,2,CMAES,F22,2,3
3,2,6,4,CMAES,F22,3,1
10,7,2,9,CMAES,F22,3,2
2,9,7,1,CMAES,F22,3,3
3,2,6,5,CMAES,F22,4,1
10,7,2,1,CMAES,F22,4,2
2,7,1,9,CMAES,F22,4,3
3,1,5,2,DE,F22,1,1
5,1,6,7,DE,F22,1,2
7,5,9,1,DE,F22,1,3
3,2,6,9,DE,F22,2,1
1,5,10,6,DE,F22,2,2
7,4,9,5,DE,F22,2,3
3,2,9,6,DE,F22,3,1
10,1,7,5,DE,F22,3,2
4,7,10,9,DE,F22,3,3
3,2,9,6,DE,F22,4,1
10,5,1,4,DE,F22,4,2
4,7,10,9,DE,F22,4,3
3,9,5,6,GA,F22,1,1
5,3,9,6,GA,F22,1,2
9,8,5,6,GA,F22,1,3
3,9,5,6,GA,F22,2,1
5,7,8,10,GA,F22,2,2
8,10,9,7,GA,F22,2,3
3,6,2,1,GA,F22,3,1
4,7,10,1,GA,F22,3,2
4,10,7,8,GA,F22,3,3
6,2,1,3,GA,F22,4,1
4,7,1,10,GA,F22,4,2
7,4,8,1,GA,F22,4,3
3,9,5,6,PSO,F22,1,1
5,3,10,6,PSO,F22,1,2
4,7,10,2,PSO,F22,1,3
3,9,5,6,PSO,F22,2,1
3,5,4,7,PSO,F22,2,2
4,7,10,1,PSO,F22,2,3
3,9,6,5,PSO,F22,3,1
4,7,8,10,PSO,F22,3,2
4,7,8,1,PSO,F22,3,3
9,3,6,2,PSO,F22,4,1
4,7,2,6,PSO,F22,4,2
7,4,1,8,PSO,F22,4,3
5,1,7,10,CMAES,F23,1,1
1,4,9,7,CMAES,F23,1,2
2,5,7,4,CMAES,F23,1,3
7,1,5,8,CMAES,F23,2,1
9,1,7,10,CMAES,F23,2,2
8,9,6,7,CMAES,F23,2,3
1,10,8,7,CMAES,F23,3,1
9,1,7,4,CMAES,F23,3,2
9,6,7,2,CMAES,F23,3,3
7,2,1,8,CMAES,F23,4,1
1,4,7,9,CMAES,F23,4,2
7,2,6,5,CMAES,F23,4,3
