,Run,Gen,PC,Score,Score4
292,1.0,98.0,1.0,0.696,1.0
293,1.0,98.0,2.0,0.596,0.25
294,1.0,99.0,0.0,0.792,1.0
295,1.0,99.0,1.0,0.692,1.0
296,1.0,99.0,2.0,0.592,0.25
297,1.0,100.0,0.0,0.8,1.0
298,1.0,100.0,1.0,0.7,1.0
299,1.0,100.0,2.0,0.6,0.25
300,1.0,101.0,0.0,0.8,1.0
301,1.0,101.0,1.0,0.7,1.0
302,1.0,101.0,2.0,0.6,0.25
303,1.0,102.0,0.0,0.8,1.0
304,1.0,102.0,1.0,0.7,1.0
305,1.0,102.0,2.0,0.6,0.25
306,1.0,103.0,0.0,0.798,1.0
307,1.0,103.0,1.0,0.698,1.0
308,1.0,103.0,2.0,0.598,0.25
309,1.0,104.0,0.0,0.8,1.0
310,1.0,104.0,1.0,0.7,1.0
311,1.0,104.0,2.0,0.6,0.25
312,1.0,105.0,0.0,0.8,1.0
313,1.0,105.0,1.0,0.7,1.0
314,1.0,105.0,2.0,0.6,0.25
315,1.0,106.0,0.0,0.8,1.0
316,1.0,106.0,1.0,0.7,1.0
317,1.0,106.0,2.0,0.596,0.26
318,1.0,107.0,0.0,0.8,1.0
319,1.0,107.0,1.0,0.7,1.0
320,1.0,107.0,2.0,0.6,0.25
321,1.0,108.0,0.0,0.798,1.0
322,1.0,108.0,1.0,0.698,1.0
323,1.0,108.0,2.0,0.598,0.25
324,1.0,109.0,0.0,0.8,1.0
325,1.0,109.0,1.0,0.7,1.0
326,1.0,109.0,2.0,0.6,0.25
327,1.0,110.0,0.0,0.8,1.0
328,1.0,110.0,1.0,0.7,1.0
329,1.0,110.0,2.0,0.6,0.25
330,1.0,111.0,0.0,0.8,1.0
331,1.0,111.0,1.0,0.7,1.0
332,1.0,111.0,2.0,0.6,0.25
333,1.0,112.0,0.0,0.8,1.0
334,1.0,112.0,1.0,0.7,1.0
335,1.0,112.0,2.0,0.6,0.25
336,1.0,113.0,0.0,0.8,1.0
337,1.0,113.0,1.0,0.7,1.0
338,1.0,113.0,2.0,0.6,0.25
339,1.0,114.0,0.0,0.8,1.0
340,1.0,114.0,1.0,0.7,1.0
341,1.0,114.0,2.0,0.6,0.25
342,1.0,115.0,0.0,0.8,1.0
343,1.0,115.0,1.0,0.7,1.0
344,1.0,115.0,2.0,0.6,0.25
345,1.0,116.0,0.0,0.8,1.0
346,1.0,116.0,1.0,0.7,1.0
347,1.0,116.0,2.0,0.6,0.25
348,1.0,117.0,0.0,0.8,1.0
349,1.0,117.0,1.0,0.7,1.0
350,1.0,117.0,2.0,0.6,0.25
351,1.0,118.0,0.0,0.8,1.0
352,1.0,118.0,1.0,0.7,1.0
353,1.0,118.0,2.0,0.6,0.25
354,1.0,119.0,0.0,0.8,1.0
355,1.0,119.0,1.0,0.7,1.0
356,1.0,119.0,2.0,0.6,0.25
357,1.0,120.0,0.0,0.8,1.0
358,1.0,120.0,1.0,0.7,1.0
359,1.0,120.0,2.0,0.6,0.25
360,1.0,121.0,0.0,0.8,1.0
