,Run,Gen,PC,Score,Score4
459,91.0,154.0,0.0,0.628,0.67
460,91.0,154.0,1.0,0.632,0.675
461,91.0,154.0,2.0,0.628,0.67
462,91.0,155.0,0.0,0.628,0.67
463,91.0,155.0,1.0,0.632,0.675
464,91.0,155.0,2.0,0.628,0.67
465,91.0,156.0,0.0,0.628,0.67
466,91.0,156.0,1.0,0.632,0.675
467,91.0,156.0,2.0,0.628,0.67
468,91.0,157.0,0.0,0.628,0.67
469,91.0,157.0,1.0,0.632,0.675
470,91.0,157.0,2.0,0.628,0.67
471,91.0,158.0,0.0,0.626,0.665
472,91.0,158.0,1.0,0.63,0.675
473,91.0,158.0,2.0,0.626,0.665
474,91.0,159.0,0.0,0.624,0.66
475,91.0,159.0,1.0,0.632,0.675
476,91.0,159.0,2.0,0.624,0.665
477,91.0,160.0,0.0,0.624,0.66
478,91.0,160.0,1.0,0.632,0.675
479,91.0,160.0,2.0,0.624,0.665
480,91.0,161.0,0.0,0.63,0.67
481,91.0,161.0,1.0,0.63,0.68
482,91.0,161.0,2.0,0.618,0.665
483,91.0,162.0,0.0,0.63,0.67
484,91.0,162.0,1.0,0.63,0.68
485,91.0,162.0,2.0,0.618,0.665
486,91.0,163.0,0.0,0.624,0.665
487,91.0,163.0,1.0,0.628,0.675
488,91.0,163.0,2.0,0.62,0.66
489,91.0,164.0,0.0,0.624,0.67
490,91.0,164.0,1.0,0.632,0.68
491,91.0,164.0,2.0,0.616,0.66
492,91.0,165.0,0.0,0.624,0.67
493,91.0,165.0,1.0,0.632,0.68
494,91.0,165.0,2.0,0.616,0.66
495,91.0,166.0,0.0,0.624,0.67
496,91.0,166.0,1.0,0.632,0.68
497,91.0,166.0,2.0,0.616,0.66
498,91.0,167.0,0.0,0.626,0.665
499,91.0,167.0,1.0,0.634,0.69
500,91.0,167.0,2.0,0.606,0.65
501,91.0,168.0,0.0,0.624,0.665
502,91.0,168.0,1.0,0.632,0.695
503,91.0,168.0,2.0,0.6,0.645
504,91.0,169.0,0.0,0.62,0.67
505,91.0,169.0,1.0,0.636,0.695
506,91.0,169.0,2.0,0.6,0.645
507,91.0,170.0,0.0,0.62,0.67
508,91.0,170.0,1.0,0.636,0.695
509,91.0,170.0,2.0,0.6,0.645
510,91.0,171.0,0.0,0.62,0.67
511,91.0,171.0,1.0,0.636,0.695
512,91.0,171.0,2.0,0.6,0.645
