,Run,Gen,PC,Score,Score4
520,91.0,174.0,1.0,0.8,0.75
521,91.0,174.0,2.0,0.6,0.5
522,91.0,175.0,0.0,0.8,1.0
523,91.0,175.0,1.0,0.8,0.75
524,91.0,175.0,2.0,0.6,0.5
525,91.0,176.0,0.0,0.8,1.0
526,91.0,176.0,1.0,0.8,0.75
527,91.0,176.0,2.0,0.6,0.5
528,91.0,177.0,0.0,0.8,1.0
529,91.0,177.0,1.0,0.8,0.75
530,91.0,177.0,2.0,0.6,0.5
531,91.0,178.0,0.0,0.8,1.0
532,91.0,178.0,1.0,0.8,0.75
533,91.0,178.0,2.0,0.6,0.5
534,91.0,179.0,0.0,0.8,1.0
535,91.0,179.0,1.0,0.8,0.75
536,91.0,179.0,2.0,0.6,0.5
537,91.0,180.0,0.0,0.8,1.0
538,91.0,180.0,1.0,0.8,0.75
539,91.0,180.0,2.0,0.6,0.5
540,91.0,181.0,0.0,0.8,1.0
541,91.0,181.0,1.0,0.8,0.75
542,91.0,181.0,2.0,0.6,0.5
543,91.0,182.0,0.0,0.8,1.0
544,91.0,182.0,1.0,0.8,0.75
545,91.0,182.0,2.0,0.6,0.5
546,91.0,183.0,0.0,0.8,1.0
547,91.0,183.0,1.0,0.8,0.75
548,91.0,183.0,2.0,0.6,0.5
549,91.0,184.0,0.0,0.8,1.0
550,91.0,184.0,1.0,0.8,0.75
551,91.0,184.0,2.0,0.6,0.5
552,91.0,185.0,0.0,0.8,1.0
553,91.0,185.0,1.0,0.8,0.75
554,91.0,185.0,2.0,0.6,0.5
555,91.0,186.0,0.0,0.8,1.0
556,91.0,186.0,1.0,0.8,0.75
557,91.0,186.0,2.0,0.6,0.5
558,91.0,187.0,0.0,0.8,1.0
559,91.0,187.0,1.0,0.8,0.75
560,91.0,187.0,2.0,0.6,0.5
561,91.0,188.0,0.0,0.8,1.0
562,91.0,188.0,1.0,0.8,0.75
563,91.0,188.0,2.0,0.6,0.5
564,91.0,189.0,0.0,0.798,1.0
565,91.0,189.0,1.0,0.802,0.755
566,91.0,189.0,2.0,0.598,0.5
567,91.0,190.0,0.0,0.796,1.0
568,91.0,190.0,1.0,0.804,0.76
569,91.0,190.0,2.0,0.596,0.5
570,91.0,191.0,0.0,0.796,1.0
571,91.0,191.0,1.0,0.804,0.76
572,91.0,191.0,2.0,0.596,0.5
573,91.0,192.0,0.0,0.79,1.0
574,91.0,192.0,1.0,0.81,0.775
575,91.0,192.0,2.0,0.59,0.5
576,91.0,193.0,0.0,0.784,1.0
577,91.0,193.0,1.0,0.816,0.79
578,91.0,193.0,2.0,0.584,0.5
579,91.0,194.0,0.0,0.778,1.0
580,91.0,194.0,1.0,0.822,0.805
581,91.0,194.0,2.0,0.578,0.5
582,91.0,195.0,0.0,0.772,1.0
583,91.0,195.0,1.0,0.828,0.82
584,91.0,195.0,2.0,0.572,0.5
585,91.0,196.0,0.0,0.758,1.0
586,91.0,196.0,1.0,0.842,0.855
587,91.0,196.0,2.0,0.558,0.5
588,91.0,197.0,0.0,0.774,1.0
589,91.0,197.0,1.0,0.826,0.815
590,91.0,197.0,2.0,0.574,0.5
591,91.0,198.0,0.0,0.754,1.0
592,91.0,198.0,1.0,0.846,0.865
593,91.0,198.0,2.0,0.554,0.5
594,91.0,199.0,0.0,0.724,1.0
595,91.0,199.0,1.0,0.876,0.94
596,91.0,199.0,2.0,0.524,0.5
597,91.0,200.0,0.0,0.7,1.0
598,91.0,200.0,1.0,0.9,1.0
599,91.0,200.0,2.0,0.5,0.5
600,91.0,201.0,0.0,0.7,1.0
601,91.0,201.0,1.0,0.9,1.0
602,91.0,201.0,2.0,0.5,0.5
603,91.0,202.0,0.0,0.7,1.0
604,91.0,202.0,1.0,0.9,1.0
605,91.0,202.0,2.0,0.5,0.5
606,91.0,203.0,0.0,0.7,1.0
607,91.0,203.0,1.0,0.9,1.0
608,91.0,203.0,2.0,0.5,0.5
609,91.0,204.0,0.0,0.7,1.0
610,91.0,204.0,1.0,0.9,1.0
611,91.0,204.0,2.0,0.5,0.5
612,91.0,205.0,0.0,0.7,1.0
613,91.0,205.0,1.0,0.9,1.0
614,91.0,205.0,2.0,0.5,0.5
615,91.0,206.0,0.0,0.7,1.0
616,91.0,206.0,1.0,0.9,1.0
617,91.0,206.0,2.0,0.5,0.5
618,91.0,207.0,0.0,0.7,1.0
619,91.0,207.0,1.0,0.9,1.0
620,91.0,207.0,2.0,0.5,0.5
621,91.0,208.0,0.0,0.7,1.0
622,91.0,208.0,1.0,0.9,1.0
623,91.0,208.0,2.0,0.5,0.5
624,91.0,209.0,0.0,0.7,1.0
625,91.0,209.0,1.0,0.9,1.0
626,91.0,209.0,2.0,0.5,0.5
627,91.0,210.0,0.0,0.7,1.0
628,91.0,210.0,1.0,0.9,1.0
629,91.0,210.0,2.0,0.5,0.5
630,91.0,211.0,0.0,0.7,1.0
631,91.0,211.0,1.0,0.9,1.0
632,91.0,211.0,2.0,0.5,0.5
